Source,Target,EdgeType,Weight
28,311,从事,1
28,190,掌握,1
190,340,应用于,1
28,108,体现,1
108,340,属于,1
28,116,体现,1
116,340,属于,1
28,130,体现,1
130,340,属于,1
28,340,属于,1
28,284,采用,1
28,31,使用,1
28,42,风险等级,1
28,146,精度等级,1
64,311,从事,1
64,120,掌握,1
120,340,应用于,1
64,116,体现,1
64,132,体现,1
132,340,属于,1
64,178,体现,1
178,340,属于,1
64,340,属于,1
64,284,采用,1
64,31,使用,1
64,67,风险等级,1
64,146,精度等级,1
336,338,从事,1
336,119,掌握,1
119,202,应用于,1
336,76,体现,1
76,202,属于,1
336,254,体现,1
254,202,属于,1
336,153,体现,1
153,202,属于,1
336,202,属于,1
336,284,采用,1
336,151,使用,1
336,144,风险等级,1
336,144,精度等级,1
74,230,从事,1
74,149,掌握,1
149,340,应用于,1
74,10,体现,1
10,340,属于,1
74,330,体现,1
330,340,属于,1
74,224,体现,1
224,340,属于,1
74,340,属于,1
74,93,采用,1
74,151,使用,1
74,144,风险等级,1
74,144,精度等级,1
54,60,从事,1
54,175,掌握,1
175,340,应用于,1
54,19,体现,1
19,340,属于,1
54,158,体现,1
158,340,属于,1
54,291,体现,1
291,340,属于,1
54,340,属于,1
54,93,采用,1
54,31,使用,1
54,144,风险等级,1
54,146,精度等级,1
189,133,从事,1
189,26,掌握,1
26,213,应用于,1
189,252,体现,1
252,213,属于,1
189,18,体现,1
18,213,属于,1
189,150,体现,1
150,213,属于,1
189,213,属于,1
189,93,采用,1
189,151,使用,1
189,144,风险等级,1
189,144,精度等级,1
30,169,从事,1
30,295,掌握,1
295,62,应用于,1
30,87,体现,1
87,62,属于,1
30,101,体现,1
101,62,属于,1
30,288,体现,1
288,62,属于,1
30,62,属于,1
30,93,采用,1
30,65,使用,1
30,42,风险等级,1
30,146,精度等级,1
131,99,从事,1
131,43,掌握,1
43,202,应用于,1
131,198,体现,1
198,202,属于,1
131,2,体现,1
2,202,属于,1
131,285,体现,1
285,202,属于,1
131,202,属于,1
131,284,采用,1
131,31,使用,1
131,67,风险等级,1
131,144,精度等级,1
142,167,从事,1
142,171,掌握,1
171,213,应用于,1
142,118,体现,1
118,213,属于,1
142,303,体现,1
303,213,属于,1
142,325,体现,1
325,213,属于,1
142,213,属于,1
142,284,采用,1
142,151,使用,1
142,42,风险等级,1
142,146,精度等级,1
33,73,从事,1
33,177,掌握,1
177,340,应用于,1
33,61,体现,1
61,340,属于,1
33,148,体现,1
148,340,属于,1
33,105,体现,1
105,340,属于,1
33,340,属于,1
33,284,采用,1
33,31,使用,1
33,42,风险等级,1
33,146,精度等级,1
331,86,从事,1
331,223,掌握,1
223,202,应用于,1
331,143,体现,1
143,202,属于,1
331,296,体现,1
296,202,属于,1
331,69,体现,1
69,202,属于,1
331,202,属于,1
331,284,采用,1
331,151,使用,1
331,42,风险等级,1
331,146,精度等级,1
13,7,从事,1
13,211,掌握,1
211,340,应用于,1
13,281,体现,1
281,340,属于,1
13,187,体现,1
187,340,属于,1
13,32,体现,1
32,340,属于,1
13,340,属于,1
13,284,采用,1
13,151,使用,1
13,144,风险等级,1
13,146,精度等级,1
276,283,从事,1
276,339,掌握,1
339,213,应用于,1
276,327,体现,1
327,213,属于,1
276,201,体现,1
201,213,属于,1
276,89,体现,1
89,213,属于,1
276,213,属于,1
276,284,采用,1
276,31,使用,1
276,42,风险等级,1
276,144,精度等级,1
173,168,从事,1
173,35,掌握,1
35,340,应用于,1
173,332,体现,1
332,340,属于,1
173,94,体现,1
94,340,属于,1
173,115,体现,1
115,340,属于,1
173,340,属于,1
173,284,采用,1
173,31,使用,1
173,144,风险等级,1
173,144,精度等级,1
248,220,从事,1
248,163,掌握,1
163,213,应用于,1
248,116,体现,1
116,213,属于,1
248,170,体现,1
170,213,属于,1
248,181,体现,1
181,213,属于,1
248,213,属于,1
248,284,采用,1
248,151,使用,1
248,42,风险等级,1
248,144,精度等级,1
305,70,从事,1
305,209,掌握,1
209,213,应用于,1
305,300,体现,1
300,213,属于,1
305,306,体现,1
306,213,属于,1
305,323,体现,1
323,213,属于,1
305,213,属于,1
305,284,采用,1
305,31,使用,1
305,67,风险等级,1
305,144,精度等级,1
185,294,从事,1
185,159,掌握,1
159,340,应用于,1
185,324,体现,1
324,340,属于,1
185,55,体现,1
55,340,属于,1
185,246,体现,1
246,340,属于,1
185,340,属于,1
185,284,采用,1
185,151,使用,1
185,42,风险等级,1
185,146,精度等级,1
25,121,从事,1
25,49,掌握,1
49,202,应用于,1
25,156,体现,1
156,202,属于,1
25,157,体现,1
157,202,属于,1
25,139,体现,1
139,202,属于,1
25,202,属于,1
25,93,采用,1
25,151,使用,1
25,144,风险等级,1
25,42,精度等级,1
271,141,从事,1
271,39,掌握,1
39,62,应用于,1
271,116,体现,1
116,62,属于,1
271,310,体现,1
310,62,属于,1
271,139,体现,1
139,62,属于,1
271,62,属于,1
271,284,采用,1
271,31,使用,1
271,144,风险等级,1
271,144,精度等级,1
56,218,从事,1
56,107,掌握,1
107,62,应用于,1
56,157,体现,1
157,62,属于,1
56,116,体现,1
56,139,体现,1
56,62,属于,1
56,93,采用,1
56,151,使用,1
56,42,风险等级,1
56,144,精度等级,1
114,27,从事,1
114,268,掌握,1
268,17,应用于,1
114,310,体现,1
310,17,属于,1
114,116,体现,1
116,17,属于,1
114,152,体现,1
152,17,属于,1
114,17,属于,1
114,334,采用,1
114,31,使用,1
114,67,风险等级,1
114,144,精度等级,1
286,8,从事,1
286,297,掌握,1
297,17,应用于,1
286,310,体现,1
286,116,体现,1
286,152,体现,1
286,17,属于,1
286,334,采用,1
286,31,使用,1
286,67,风险等级,1
286,146,精度等级,1
272,257,从事,1
272,229,掌握,1
229,62,应用于,1
272,310,体现,1
272,116,体现,1
272,157,体现,1
272,62,属于,1
272,284,采用,1
272,151,使用,1
272,42,风险等级,1
272,144,精度等级,1
106,38,从事,1
106,275,掌握,1
275,17,应用于,1
106,310,体现,1
106,116,体现,1
106,152,体现,1
106,17,属于,1
106,334,采用,1
106,31,使用,1
106,67,风险等级,1
106,144,精度等级,1
240,96,从事,1
240,78,掌握,1
