行业,品质,分数
航空制造,精度,71.4
航空制造,责任,28.2
航空制造,创新,100.0
航空制造,专注,4.0
航空制造,吃苦,20.1
航空制造,学习,28.2
航空制造,协作,20.1
航空制造,极致,8.1
核电建设,精度,38.1
核电建设,责任,32.2
核电建设,创新,14.3
核电建设,专注,4.0
核电建设,吃苦,36.2
核电建设,学习,4.0
核电建设,协作,20.1
核电建设,极致,12.1
射电望远镜,精度,38.1
射电望远镜,责任,28.2
射电望远镜,创新,14.3
射电望远镜,专注,4.0
射电望远镜,吃苦,20.1
射电望远镜,学习,4.0
射电望远镜,协作,16.1
射电望远镜,极致,4.0
海底隧道/桥梁,精度,52.4
海底隧道/桥梁,责任,40.3
海底隧道/桥梁,创新,19.0
海底隧道/桥梁,专注,24.2
海底隧道/桥梁,吃苦,32.2
海底隧道/桥梁,学习,32.2
海底隧道/桥梁,协作,40.3
海底隧道/桥梁,极致,4.0
LNG船舶,精度,0.0
LNG船舶,责任,32.2
LNG船舶,创新,0.0
LNG船舶,专注,4.0
LNG船舶,吃苦,8.1
LNG船舶,学习,8.1
LNG船舶,协作,4.0
LNG船舶,极致,8.1
