行业,品质,分数
核电维修,精度,36.4
核电维修,责任,47.3
核电维修,创新,63.6
核电维修,专注,31.5
核电维修,吃苦,18.2
核电维修,学习,0.0
核电维修,协作,36.4
核电维修,极致,0.0
特高压带电,精度,18.2
特高压带电,责任,39.4
特高压带电,创新,54.5
特高压带电,专注,7.9
特高压带电,吃苦,18.2
特高压带电,学习,0.0
特高压带电,协作,36.4
特高压带电,极致,0.0
核电燃料,精度,18.2
核电燃料,责任,39.4
核电燃料,创新,54.5
核电燃料,专注,7.9
核电燃料,吃苦,18.2
核电燃料,学习,0.0
核电燃料,协作,36.4
核电燃料,极致,0.0
电能计量,精度,18.2
电能计量,责任,39.4
电能计量,创新,100.0
电能计量,专注,15.8
电能计量,吃苦,18.2
电能计量,学习,71.0
电能计量,协作,90.9
电能计量,极致,35.5
火电焊接,精度,0.0
火电焊接,责任,7.9
火电焊接,创新,0.0
火电焊接,专注,31.5
火电焊接,吃苦,0.0
火电焊接,学习,0.0
火电焊接,协作,0.0
火电焊接,极致,0.0
水电吊装,精度,63.6
水电吊装,责任,47.3
水电吊装,创新,54.5
水电吊装,专注,39.4
水电吊装,吃苦,18.2
水电吊装,学习,0.0
水电吊装,协作,36.4
水电吊装,极致,0.0
