行业,品质,分数
数控加工,精度,91.3
数控加工,责任,0.0
数控加工,创新,100.0
数控加工,专注,0.0
数控加工,吃苦,0.0
数控加工,学习,28.6
数控加工,协作,16.0
数控加工,极致,5.7
火箭总装,精度,22.8
火箭总装,责任,7.1
火箭总装,创新,0.0
火箭总装,专注,0.0
火箭总装,吃苦,0.0
火箭总装,学习,0.0
火箭总装,协作,8.0
火箭总装,极致,5.7
飞船总装,精度,17.1
飞船总装,责任,28.6
飞船总装,创新,0.0
飞船总装,专注,41.3
飞船总装,吃苦,0.0
飞船总装,学习,0.0
飞船总装,协作,16.0
飞船总装,极致,5.7
航天焊接,精度,22.8
航天焊接,责任,7.1
航天焊接,创新,0.0
航天焊接,专注,20.7
航天焊接,吃苦,12.0
航天焊接,学习,0.0
航天焊接,协作,16.0
航天焊接,极致,5.7
雷达装配,精度,34.2
雷达装配,责任,7.1
雷达装配,创新,0.0
雷达装配,专注,0.0
雷达装配,吃苦,0.0
雷达装配,学习,0.0
雷达装配,协作,0.0
雷达装配,极致,5.7
导弹加工,精度,57.0
导弹加工,责任,7.1
导弹加工,创新,0.0
导弹加工,专注,0.0
导弹加工,吃苦,0.0
导弹加工,学习,0.0
导弹加工,协作,0.0
导弹加工,极致,17.1
航天材料,精度,74.2
航天材料,责任,0.0
航天材料,创新,0.0
航天材料,专注,0.0
航天材料,吃苦,0.0
航天材料,学习,0.0
航天材料,协作,0.0
航天材料,极致,11.4
航天对接,精度,17.1
航天对接,责任,7.1
航天对接,创新,0.0
航天对接,专注,10.3
航天对接,吃苦,12.0
航天对接,学习,0.0
航天对接,协作,56.1
航天对接,极致,11.4
