行业,品质,分数
ROV操控,精度,0.0
ROV操控,责任,0.0
ROV操控,创新,0.0
ROV操控,专注,0.0
ROV操控,吃苦,0.0
ROV操控,学习,10.3
ROV操控,协作,5.2
ROV操控,极致,0.0
设备再造,精度,0.0
设备再造,责任,10.3
设备再造,创新,20.1
设备再造,专注,0.0
设备再造,吃苦,4.8
设备再造,学习,20.7
设备再造,协作,5.2
设备再造,极致,0.0
货车焊接,精度,4.0
货车焊接,责任,3.4
货车焊接,创新,0.0
货车焊接,专注,0.0
货车焊接,吃苦,4.8
货车焊接,学习,10.3
货车焊接,协作,5.2
货车焊接,极致,12.1
转向架研磨,精度,12.1
转向架研磨,责任,17.2
转向架研磨,创新,4.0
转向架研磨,专注,100.0
转向架研磨,吃苦,0.0
转向架研磨,学习,10.3
转向架研磨,协作,7.7
转向架研磨,极致,4.0
铸造控制,精度,0.0
铸造控制,责任,3.4
铸造控制,创新,0.0
铸造控制,专注,0.0
铸造控制,吃苦,0.0
铸造控制,学习,0.0
铸造控制,协作,10.3
铸造控制,极致,12.1
深孔加工,精度,8.0
深孔加工,责任,0.0
深孔加工,创新,4.0
深孔加工,专注,33.3
深孔加工,吃苦,0.0
深孔加工,学习,0.0
深孔加工,协作,10.3
深孔加工,极致,0.0
